OBJECTID,DATE,Facility_Type,Allegany,Anne_Arundel,Baltimore,Baltimore_City,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince_George_s,Queen_Anne_s,Somerset,St_Mary_s,Talbot,Washington,Wicomico,Worcester
55,4/29/2020 10:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",17,143,232,172,2,0,69,16,40,0,148,0,29,41,10,382,173,3,0,7,0,6,2,3
56,4/29/2020 10:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",73,273,526,490,0,0,203,53,113,0,203,0,82,117,57,717,296,0,0,12,0,6,6,3
57,4/29/2020 10:00,Staff: State and Local Affected Facilities,3,133,13,66,0,0,3,0,2,0,0,0,0,1,0,3,31,0,1,0,0,2,1,0
58,4/29/2020 10:00,Patients: State and Local Affected Facilities,0,0,28,0,0,0,0,0,1,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0
59,4/29/2020 10:00,Inmates: State and Local Affected Facilities,0,52,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
60,4/29/2020 10:00,Youth: State and Local Affected Facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,5/6/2020 10:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",25,169,299,220,3,0,70,15,49,1,161,0,42,43,14,512,245,4,0,8,0,5,4,6
62,5/6/2020 10:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",64,337,791,524,0,0,235,61,136,0,236,0,134,137,60,1000,542,0,0,15,0,11,31,9
63,5/6/2020 10:00,Staff: State and Local Affected Facilities,3,136,14,69,0,0,4,0,3,0,0,0,0,1,0,2,31,0,1,0,0,2,1,0
64,5/6/2020 10:00,Patients: State and Local Affected Facilities,0,0,36,0,0,0,0,0,1,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0
65,5/6/2020 10:00,Inmates: State and Local Affected Facilities,0,55,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
66,5/6/2020 10:00,Youth: State and Local Affected Facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,5/13/2020 10:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",31,173,396,272,0,0,44,15,56,2,161,0,57,51,15,603,289,4,0,15,0,5,13,7
68,5/13/2020 10:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",81,394,1047,656,0,0,172,86,133,0,279,0,169,140,76,1333,622,0,0,56,0,19,42,24
69,5/13/2020 10:00,Staff: State and Local Affected Facilities,3,155,17,91,0,0,7,0,3,3,0,0,0,14,0,2,33,0,5,1,0,0,1,0
70,5/13/2020 10:00,Patients: State and Local Affected Facilities,0,0,43,0,0,0,0,0,1,0,0,0,0,15,0,0,19,0,0,0,0,0,0,0
71,5/13/2020 10:00,Inmates: State and Local Affected Facilities,0,71,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72,5/13/2020 10:00,Youth: State and Local Affected Facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,5/20/2020 10:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",31,186,479,321,0,0,72,17,23,2,154,0,58,56,17,657,347,5,0,51,1,7,14,21
74,5/20/2020 10:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",81,459,1142,727,0,1,224,112,45,0,262,0,173,146,82,1449,798,2,1,94,0,26,70,45
75,5/20/2020 10:00,Staff: State and Local Affected Facilities,3,166,23,98,0,0,9,0,0,3,1,0,0,16,0,2,35,0,5,2,0,4,1,0
76,5/20/2020 10:00,Patients: State and Local Affected Facilities,1,0,49,0,0,0,1,0,0,0,0,0,0,15,0,0,19,0,0,0,0,0,0,0
77,5/20/2020 10:00,Inmates: State and Local Affected Facilities,0,74,0,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
78,5/20/2020 10:00,Youth: State and Local Affected Facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,5/27/2020 10:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",35,220,563,385,0,0,90,17,28,3,168,3,62,71,22,725,388,6,0,56,1,11,50,25
80,5/27/2020 10:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",88,444,1247,829,0,1,247,112,45,0,270,4,174,163,87,1476,905,7,1,124,2,32,87,57
81,5/27/2020 10:00,Staff: State and Local Affected Facilities,3,178,24,103,0,0,19,0,0,3,1,0,0,18,0,1,36,0,5,2,0,5,0,0
82,5/27/2020 10:00,Patients: State and Local Affected Facilities,1,0,50,0,0,0,4,0,0,0,0,0,0,15,0,0,20,0,0,0,0,0,0,0
83,5/27/2020 10:00,Inmates: State and Local Affected Facilities,0,107,0,34,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
84,5/27/2020 10:00,Youth: State and Local Affected Facilities,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,6/3/2020 10:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",37,148,638,453,3,0,97,17,28,5,191,3,32,97,23,786,467,12,0,84,2,18,41,28
86,6/3/2020 10:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",91,335,1300,805,1,1,284,112,45,3,281,4,85,201,94,1536,1013,12,1,198,4,48,90,64
87,6/3/2020 10:00,Staff: State and Local Affected Facilities,3,229,6,111,0,0,32,0,0,3,0,0,0,3,0,1,36,0,3,2,0,10,0,3
88,6/3/2020 10:00,Patients: State and Local Affected Facilities,1,0,8,0,0,0,5,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
89,6/3/2020 10:00,Inmates: State and Local Affected Facilities,0,137,0,48,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
90,6/3/2020 10:00,Youth: State and Local Affected Facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,6/10/2020 10:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",38,131,726,447,3,0,121,28,24,8,177,3,0,117,13,738,423,17,1,90,3,28,47,31
92,6/10/2020 10:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",97,342,1387,851,1,1,311,101,44,5,251,4,0,231,38,1279,929,14,0,201,5,58,100,67
93,6/10/2020 10:00,Staff: State and Local Affected Facilities,3,232,7,130,0,0,33,0,0,0,0,0,0,3,0,0,36,0,3,2,0,11,0,10
94,6/10/2020 10:00,Patients: State and Local Affected Facilities,1,0,8,0,0,0,5,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
95,6/10/2020 10:00,Inmates: State and Local Affected Facilities,0,181,0,51,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
96,6/10/2020 10:00,Youth: State and Local Affected Facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,6/17/2020 10:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",36,126,610,444,0,0,150,29,55,6,188,3,1,94,14,679,205,20,0,86,3,11,45,31
98,6/17/2020 10:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",88,326,1164,804,0,0,365,101,141,8,263,4,0,211,39,1145,527,38,0,201,5,30,104,67
99,6/17/2020 10:00,Staff: State and Local Affected Facilities,3,231,7,137,0,0,34,0,0,0,0,0,0,0,0,0,37,0,3,2,0,13,0,10
100,6/17/2020 10:00,Patients: State and Local Affected Facilities,0,0,8,0,0,0,5,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
101,6/17/2020 10:00,Inmates: State and Local Affected Facilities,1,326,0,58,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0
102,6/17/2020 10:00,Youth: State and Local Affected Facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,6/24/2020 10:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",36,97,499,347,0,0,104,0,52,9,114,0,0,56,13,544,131,25,0,92,2,27,46,35
104,6/24/2020 10:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",88,244,931,660,0,0,293,0,141,8,146,0,0,104,41,944,327,43,0,205,5,64,133,68
105,6/24/2020 10:00,Staff: State and Local Affected Facilities,4,234,8,147,0,0,36,0,0,0,0,0,0,0,0,0,37,0,3,2,0,9,0,0
106,6/24/2020 10:00,Patients: State and Local Affected Facilities,0,0,8,0,0,0,5,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
107,6/24/2020 10:00,Inmates: State and Local Affected Facilities,4,340,0,90,0,0,47,0,0,0,0,0,0,0,0,0,0,0,5,0,0,12,0,0
108,6/24/2020 10:00,Youth: State and Local Affected Facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,7/1/2020 10:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",36,109,418,310,0,0,104,0,15,9,94,0,1,59,13,475,123,26,0,97,3,27,7,35
110,7/1/2020 10:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",88,243,718,586,0,0,293,0,34,8,143,0,0,121,41,801,288,46,0,205,5,70,25,68
111,7/1/2020 10:00,Staff: State and Local Affected Facilities,5,235,6,170,0,0,37,0,0,0,0,0,0,17,0,0,37,0,3,2,0,11,0,0
112,7/1/2020 10:00,Patients: State and Local Affected Facilities,0,0,8,0,0,0,7,0,0,0,0,0,0,21,0,0,24,0,0,0,0,0,0,0
113,7/1/2020 10:00,Inmates: State and Local Affected Facilities,12,361,0,108,0,0,58,0,0,0,0,0,0,0,0,0,0,0,5,0,0,39,0,0
114,7/1/2020 10:00,Youth: State and Local Affected Facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,7/8/2020 10:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",36,51,427,268,0,0,60,0,52,9,98,8,3,74,14,361,127,26,0,0,3,23,45,36
116,7/8/2020 10:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",88,115,721,449,0,0,178,0,120,8,191,4,1,139,44,593,292,52,0,0,5,67,108,68
117,7/8/2020 10:00,Staff: State and Local Affected Facilities,5,236,7,175,0,0,20,0,0,0,0,0,0,27,0,0,37,0,0,0,0,11,0,0
118,7/8/2020 10:00,Patients: State and Local Affected Facilities,0,0,8,0,0,0,0,0,0,0,0,0,0,37,0,0,24,0,0,0,0,0,0,0
119,7/8/2020 10:00,Inmates: State and Local Affected Facilities,0,364,144,144,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0
120,7/8/2020 10:00,Youth: State and Local Affected Facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,7/15/2020 10:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",36,57,535,225,0,1,42,0,52,10,107,10,33,98,14,457,116,26,0,0,3,31,50,36
146,7/15/2020 10:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",88,158,931,487,0,0,164,0,122,9,197,6,88,147,44,676,269,49,0,0,5,70,120,68
147,7/15/2020 10:00,Staff: State and Local Affected Facilities,5,240,9,179,0,0,20,0,0,0,0,0,0,28,0,0,0,0,0,0,0,17,0,0
148,7/15/2020 10:00,Patients: State and Local Affected Facilities,0,0,8,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0
149,7/15/2020 10:00,Inmates: State and Local Affected Facilities,0,364,146,146,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0
150,7/15/2020 10:00,Youth: State and Local Affected Facilities,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,7/22/2020 10:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",1,149,655,474,0,1,89,1,67,10,107,10,32,96,14,544,282,26,0,0,5,34,50,36
158,7/22/2020 10:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",0,272,1020,782,0,0,231,0,130,9,199,6,88,153,48,863,602,49,0,0,5,70,121,68
159,7/22/2020 10:00,Staff: State and Local Affected Facilities,5,241,27,189,0,0,40,0,0,1,0,0,0,27,0,4,0,0,0,0,0,17,0,0
160,7/22/2020 10:00,Patients: State and Local Affected Facilities,0,0,52,0,0,0,7,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0
161,7/22/2020 10:00,Inmates: State and Local Affected Facilities,0,366,155,155,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0
162,7/22/2020 10:00,Youth: State and Local Affected Facilities,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
163,7/29/2020 10:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",41,201,746,678,1,0,119,2,72,0,112,10,38,127,14,548,328,30,0,0,6,15,47,3
164,7/29/2020 10:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",88,360,1212,1072,0,0,278,0,139,0,178,6,90,183,49,816,689,49,0,0,5,3,97,0
165,7/29/2020 10:00,Staff: State and Local Affected Facilities,7,248,33,202,0,0,41,0,0,1,0,0,0,31,0,4,43,0,0,0,0,18,0,0
166,7/29/2020 10:00,Patients: State and Local Affected Facilities,0,0,52,0,0,0,7,0,0,1,0,0,0,43,0,0,27,0,0,0,0,0,0,0
167,7/29/2020 10:00,Inmates: State and Local Affected Facilities,0,367,159,159,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0
168,7/29/2020 10:00,Youth: State and Local Affected Facilities,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
181,8/5/2020 10:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",41,152,791,627,5,0,47,4,77,0,198,10,74,133,0,570,406,0,0,0,5,10,46,4
182,8/5/2020 10:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",89,262,1261,910,1,0,168,0,140,0,302,6,180,168,0,815,834,0,0,0,8,3,97,1
183,8/5/2020 10:00,Staff: State and Local Affected Facilities,7,263,34,207,0,0,42,0,0,1,0,0,0,35,0,4,43,0,0,0,0,13,0,0
184,8/5/2020 10:00,Patients: State and Local Affected Facilities,0,0,52,0,0,0,7,1,0,1,0,0,0,44,0,0,27,0,0,0,0,0,0,0
185,8/5/2020 10:00,Inmates: State and Local Affected Facilities,0,367,172,172,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0
186,8/5/2020 10:00,Youth: State and Local Affected Facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,8/12/2020 10:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",3,164,837,733,3,0,18,34,7,0,144,21,76,183,0,502,151,0,0,0,10,9,46,2
212,8/12/2020 10:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",1,342,1327,1112,1,0,123,101,1,0,199,10,179,250,0,753,262,0,0,0,9,0,97,5
213,8/12/2020 10:00,Staff: State and Local Affected Facilities,6,272,41,245,0,0,44,0,0,0,2,0,0,35,0,0,43,0,0,0,0,13,0,0
214,8/12/2020 10:00,Patients: State and Local Affected Facilities,0,0,53,0,0,0,7,0,0,0,0,0,0,44,0,0,27,0,0,0,0,0,0,0
215,8/12/2020 10:00,Inmates: State and Local Affected Facilities,0,368,188,188,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0
216,8/12/2020 10:00,Youth: State and Local Affected Facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,8/19/2020 10:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",3,125,776,551,0,0,24,33,35,0,125,18,8,136,0,482,211,31,0,0,13,36,47,9
236,8/19/2020 10:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",1,203,1246,853,0,0,76,101,29,0,174,10,3,238,0,768,320,49,0,0,12,67,98,10
237,8/19/2020 10:00,Staff: State and Local Affected Facilities,6,249,47,285,0,1,44,0,0,0,5,0,0,28,0,5,43,0,0,0,0,15,0,0
238,8/19/2020 10:00,Patients: State and Local Affected Facilities,0,0,53,1,0,0,7,0,0,0,0,0,0,41,0,0,27,0,0,0,0,0,0,0
239,8/19/2020 10:00,Inmates: State and Local Affected Facilities,0,370,196,196,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0
