OBJECTID,DATE,Month,County,Group,Facility,Cases,Cases_Normalized,Risk_Level
55,2020-04-29 10:00:00,4,Allegany,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",17,-0.30838344615231544,0
56,2020-04-29 10:00:00,4,Allegany,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",73,-0.06856306589032299,0
57,2020-04-29 10:00:00,4,Allegany,Staff,State and Local Affected Facilities,3,-0.36833854121781356,0
58,2020-04-29 10:00:00,4,Allegany,Patients,State and Local Affected Facilities,0,-0.3811860615889917,0
59,2020-04-29 10:00:00,4,Allegany,Inmates,State and Local Affected Facilities,0,-0.3811860615889917,0
60,2020-04-29 10:00:00,4,Allegany,Youth,State and Local Affected Facilities,0,-0.3811860615889917,0
61,2020-05-06 10:00:00,5,Allegany,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",25,-0.27412339182917367,0
62,2020-05-06 10:00:00,5,Allegany,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",64,-0.10710562700385749,0
63,2020-05-06 10:00:00,5,Allegany,Staff,State and Local Affected Facilities,3,-0.36833854121781356,0
64,2020-05-06 10:00:00,5,Allegany,Patients,State and Local Affected Facilities,0,-0.3811860615889917,0
65,2020-05-06 10:00:00,5,Allegany,Inmates,State and Local Affected Facilities,0,-0.3811860615889917,0
66,2020-05-06 10:00:00,5,Allegany,Youth,State and Local Affected Facilities,0,-0.3811860615889917,0
67,2020-05-13 10:00:00,5,Allegany,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",31,-0.24842835108681732,0
68,2020-05-13 10:00:00,5,Allegany,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",81,-0.03430301156718121,0
69,2020-05-13 10:00:00,5,Allegany,Staff,State and Local Affected Facilities,3,-0.36833854121781356,0
70,2020-05-13 10:00:00,5,Allegany,Patients,State and Local Affected Facilities,0,-0.3811860615889917,0
71,2020-05-13 10:00:00,5,Allegany,Inmates,State and Local Affected Facilities,0,-0.3811860615889917,0
72,2020-05-13 10:00:00,5,Allegany,Youth,State and Local Affected Facilities,0,-0.3811860615889917,0
73,2020-05-20 10:00:00,5,Allegany,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",31,-0.24842835108681732,0
74,2020-05-20 10:00:00,5,Allegany,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",81,-0.03430301156718121,0
75,2020-05-20 10:00:00,5,Allegany,Staff,State and Local Affected Facilities,3,-0.36833854121781356,0
76,2020-05-20 10:00:00,5,Allegany,Patients,State and Local Affected Facilities,1,-0.376903554798599,0
77,2020-05-20 10:00:00,5,Allegany,Inmates,State and Local Affected Facilities,0,-0.3811860615889917,0
78,2020-05-20 10:00:00,5,Allegany,Youth,State and Local Affected Facilities,0,-0.3811860615889917,0
79,2020-05-27 10:00:00,5,Allegany,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",35,-0.23129832392524644,0
80,2020-05-27 10:00:00,5,Allegany,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",88,-0.00432546403443216,0
81,2020-05-27 10:00:00,5,Allegany,Staff,State and Local Affected Facilities,3,-0.36833854121781356,0
82,2020-05-27 10:00:00,5,Allegany,Patients,State and Local Affected Facilities,1,-0.376903554798599,0
83,2020-05-27 10:00:00,5,Allegany,Inmates,State and Local Affected Facilities,0,-0.3811860615889917,0
84,2020-05-27 10:00:00,5,Allegany,Youth,State and Local Affected Facilities,0,-0.3811860615889917,0
85,2020-06-03 10:00:00,6,Allegany,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",37,-0.222733310344461,0
86,2020-06-03 10:00:00,6,Allegany,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",91,0.008522056336746008,0
87,2020-06-03 10:00:00,6,Allegany,Staff,State and Local Affected Facilities,3,-0.36833854121781356,0
88,2020-06-03 10:00:00,6,Allegany,Patients,State and Local Affected Facilities,1,-0.376903554798599,0
89,2020-06-03 10:00:00,6,Allegany,Inmates,State and Local Affected Facilities,0,-0.3811860615889917,0
90,2020-06-03 10:00:00,6,Allegany,Youth,State and Local Affected Facilities,0,-0.3811860615889917,0
91,2020-06-10 10:00:00,6,Allegany,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",38,-0.21845080355406826,0
92,2020-06-10 10:00:00,6,Allegany,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",97,0.034217097079102345,0
93,2020-06-10 10:00:00,6,Allegany,Staff,State and Local Affected Facilities,3,-0.36833854121781356,0
94,2020-06-10 10:00:00,6,Allegany,Patients,State and Local Affected Facilities,1,-0.376903554798599,0
95,2020-06-10 10:00:00,6,Allegany,Inmates,State and Local Affected Facilities,0,-0.3811860615889917,0
96,2020-06-10 10:00:00,6,Allegany,Youth,State and Local Affected Facilities,0,-0.3811860615889917,0
97,2020-06-17 10:00:00,6,Allegany,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",36,-0.22701581713485372,0
98,2020-06-17 10:00:00,6,Allegany,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",88,-0.00432546403443216,0
99,2020-06-17 10:00:00,6,Allegany,Staff,State and Local Affected Facilities,3,-0.36833854121781356,0
100,2020-06-17 10:00:00,6,Allegany,Patients,State and Local Affected Facilities,0,-0.3811860615889917,0
101,2020-06-17 10:00:00,6,Allegany,Inmates,State and Local Affected Facilities,1,-0.376903554798599,0
102,2020-06-17 10:00:00,6,Allegany,Youth,State and Local Affected Facilities,0,-0.3811860615889917,0
103,2020-06-24 10:00:00,6,Allegany,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",36,-0.22701581713485372,0
104,2020-06-24 10:00:00,6,Allegany,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",88,-0.00432546403443216,0
105,2020-06-24 10:00:00,6,Allegany,Staff,State and Local Affected Facilities,4,-0.36405603442742085,0
106,2020-06-24 10:00:00,6,Allegany,Patients,State and Local Affected Facilities,0,-0.3811860615889917,0
107,2020-06-24 10:00:00,6,Allegany,Inmates,State and Local Affected Facilities,4,-0.36405603442742085,0
108,2020-06-24 10:00:00,6,Allegany,Youth,State and Local Affected Facilities,0,-0.3811860615889917,0
109,2020-07-01 10:00:00,7,Allegany,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",36,-0.22701581713485372,0
110,2020-07-01 10:00:00,7,Allegany,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",88,-0.00432546403443216,0
111,2020-07-01 10:00:00,7,Allegany,Staff,State and Local Affected Facilities,5,-0.35977352763702813,0
112,2020-07-01 10:00:00,7,Allegany,Patients,State and Local Affected Facilities,0,-0.3811860615889917,0
113,2020-07-01 10:00:00,7,Allegany,Inmates,State and Local Affected Facilities,12,-0.3297959801042791,0
114,2020-07-01 10:00:00,7,Allegany,Youth,State and Local Affected Facilities,0,-0.3811860615889917,0
115,2020-07-08 10:00:00,7,Allegany,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",36,-0.22701581713485372,0
116,2020-07-08 10:00:00,7,Allegany,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",88,-0.00432546403443216,0
117,2020-07-08 10:00:00,7,Allegany,Staff,State and Local Affected Facilities,5,-0.35977352763702813,0
118,2020-07-08 10:00:00,7,Allegany,Patients,State and Local Affected Facilities,0,-0.3811860615889917,0
119,2020-07-08 10:00:00,7,Allegany,Inmates,State and Local Affected Facilities,0,-0.3811860615889917,0
120,2020-07-08 10:00:00,7,Allegany,Youth,State and Local Affected Facilities,0,-0.3811860615889917,0
145,2020-07-15 10:00:00,7,Allegany,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",36,-0.22701581713485372,0
146,2020-07-15 10:00:00,7,Allegany,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",88,-0.00432546403443216,0
147,2020-07-15 10:00:00,7,Allegany,Staff,State and Local Affected Facilities,5,-0.35977352763702813,0
148,2020-07-15 10:00:00,7,Allegany,Patients,State and Local Affected Facilities,0,-0.3811860615889917,0
149,2020-07-15 10:00:00,7,Allegany,Inmates,State and Local Affected Facilities,0,-0.3811860615889917,0
150,2020-07-15 10:00:00,7,Allegany,Youth,State and Local Affected Facilities,0,-0.3811860615889917,0
157,2020-07-22 10:00:00,7,Allegany,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",1,-0.376903554798599,0
158,2020-07-22 10:00:00,7,Allegany,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",0,-0.3811860615889917,0
159,2020-07-22 10:00:00,7,Allegany,Staff,State and Local Affected Facilities,5,-0.35977352763702813,0
160,2020-07-22 10:00:00,7,Allegany,Patients,State and Local Affected Facilities,0,-0.3811860615889917,0
161,2020-07-22 10:00:00,7,Allegany,Inmates,State and Local Affected Facilities,0,-0.3811860615889917,0
162,2020-07-22 10:00:00,7,Allegany,Youth,State and Local Affected Facilities,0,-0.3811860615889917,0
163,2020-07-29 10:00:00,7,Allegany,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",41,-0.20560328318289012,0
164,2020-07-29 10:00:00,7,Allegany,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",88,-0.00432546403443216,0
165,2020-07-29 10:00:00,7,Allegany,Staff,State and Local Affected Facilities,7,-0.35120851405624265,0
166,2020-07-29 10:00:00,7,Allegany,Patients,State and Local Affected Facilities,0,-0.3811860615889917,0
167,2020-07-29 10:00:00,7,Allegany,Inmates,State and Local Affected Facilities,0,-0.3811860615889917,0
168,2020-07-29 10:00:00,7,Allegany,Youth,State and Local Affected Facilities,0,-0.3811860615889917,0
181,2020-08-05 10:00:00,8,Allegany,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",41,-0.20560328318289012,0
182,2020-08-05 10:00:00,8,Allegany,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",89,-4.295724403943693e-05,0
183,2020-08-05 10:00:00,8,Allegany,Staff,State and Local Affected Facilities,7,-0.35120851405624265,0
184,2020-08-05 10:00:00,8,Allegany,Patients,State and Local Affected Facilities,0,-0.3811860615889917,0
185,2020-08-05 10:00:00,8,Allegany,Inmates,State and Local Affected Facilities,0,-0.3811860615889917,0
186,2020-08-05 10:00:00,8,Allegany,Youth,State and Local Affected Facilities,0,-0.3811860615889917,0
211,2020-08-12 10:00:00,8,Allegany,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",3,-0.36833854121781356,0
212,2020-08-12 10:00:00,8,Allegany,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",1,-0.376903554798599,0
213,2020-08-12 10:00:00,8,Allegany,Staff,State and Local Affected Facilities,6,-0.35549102084663536,0
214,2020-08-12 10:00:00,8,Allegany,Patients,State and Local Affected Facilities,0,-0.3811860615889917,0
215,2020-08-12 10:00:00,8,Allegany,Inmates,State and Local Affected Facilities,0,-0.3811860615889917,0
216,2020-08-12 10:00:00,8,Allegany,Youth,State and Local Affected Facilities,0,-0.3811860615889917,0
235,2020-08-19 10:00:00,8,Allegany,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",3,-0.36833854121781356,0
236,2020-08-19 10:00:00,8,Allegany,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",1,-0.376903554798599,0
237,2020-08-19 10:00:00,8,Allegany,Staff,State and Local Affected Facilities,6,-0.35549102084663536,0
238,2020-08-19 10:00:00,8,Allegany,Patients,State and Local Affected Facilities,0,-0.3811860615889917,0
239,2020-08-19 10:00:00,8,Allegany,Inmates,State and Local Affected Facilities,0,-0.3811860615889917,0
240,2020-08-19 10:00:00,8,Allegany,Youth,State and Local Affected Facilities,0,-0.3811860615889917,0
247,2020-08-26 10:00:00,8,Allegany,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",3,-0.36833854121781356,0
248,2020-08-26 10:00:00,8,Allegany,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",1,-0.376903554798599,0
249,2020-08-26 10:00:00,8,Allegany,Staff,State and Local Affected Facilities,7,-0.35120851405624265,0
250,2020-08-26 10:00:00,8,Allegany,Patients,State and Local Affected Facilities,0,-0.3811860615889917,0
251,2020-08-26 10:00:00,8,Allegany,Inmates,State and Local Affected Facilities,0,-0.3811860615889917,0
252,2020-08-26 10:00:00,8,Allegany,Youth,State and Local Affected Facilities,0,-0.3811860615889917,0
253,2020-09-02 10:00:00,9,Allegany,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",2,-0.3726210480082063,0
254,2020-09-02 10:00:00,9,Allegany,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",0,-0.3811860615889917,0
255,2020-09-02 10:00:00,9,Allegany,Staff,State and Local Affected Facilities,7,-0.35120851405624265,0
256,2020-09-02 10:00:00,9,Allegany,Patients,State and Local Affected Facilities,0,-0.3811860615889917,0
257,2020-09-02 10:00:00,9,Allegany,Inmates,State and Local Affected Facilities,0,-0.3811860615889917,0
258,2020-09-02 10:00:00,9,Allegany,Youth,State and Local Affected Facilities,0,-0.3811860615889917,0
271,200-09-09 09:03:58,9,Allegany,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",2,-0.3726210480082063,0
