OBJECTID,DATE,Group,Facility,County,Cases,Month,Cases_Normalized,Risk_Level
55,2020-04-29 10:00:00,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,17,4,-0.30838344615231544,0
56,2020-04-29 10:00:00,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,73,4,-0.06856306589032299,0
57,2020-04-29 10:00:00,Staff,State and Local Affected Facilities,Allegany,3,4,-0.36833854121781356,0
58,2020-04-29 10:00:00,Patients,State and Local Affected Facilities,Allegany,0,4,-0.3811860615889917,0
59,2020-04-29 10:00:00,Inmates,State and Local Affected Facilities,Allegany,0,4,-0.3811860615889917,0
60,2020-04-29 10:00:00,Youth,State and Local Affected Facilities,Allegany,0,4,-0.3811860615889917,0
61,2020-05-06 10:00:00,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,25,5,-0.27412339182917367,0
62,2020-05-06 10:00:00,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,64,5,-0.10710562700385749,0
63,2020-05-06 10:00:00,Staff,State and Local Affected Facilities,Allegany,3,5,-0.36833854121781356,0
64,2020-05-06 10:00:00,Patients,State and Local Affected Facilities,Allegany,0,5,-0.3811860615889917,0
65,2020-05-06 10:00:00,Inmates,State and Local Affected Facilities,Allegany,0,5,-0.3811860615889917,0
66,2020-05-06 10:00:00,Youth,State and Local Affected Facilities,Allegany,0,5,-0.3811860615889917,0
67,2020-05-13 10:00:00,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,31,5,-0.24842835108681732,0
68,2020-05-13 10:00:00,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,81,5,-0.03430301156718121,0
69,2020-05-13 10:00:00,Staff,State and Local Affected Facilities,Allegany,3,5,-0.36833854121781356,0
70,2020-05-13 10:00:00,Patients,State and Local Affected Facilities,Allegany,0,5,-0.3811860615889917,0
71,2020-05-13 10:00:00,Inmates,State and Local Affected Facilities,Allegany,0,5,-0.3811860615889917,0
72,2020-05-13 10:00:00,Youth,State and Local Affected Facilities,Allegany,0,5,-0.3811860615889917,0
73,2020-05-20 10:00:00,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,31,5,-0.24842835108681732,0
74,2020-05-20 10:00:00,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,81,5,-0.03430301156718121,0
75,2020-05-20 10:00:00,Staff,State and Local Affected Facilities,Allegany,3,5,-0.36833854121781356,0
76,2020-05-20 10:00:00,Patients,State and Local Affected Facilities,Allegany,1,5,-0.376903554798599,0
77,2020-05-20 10:00:00,Inmates,State and Local Affected Facilities,Allegany,0,5,-0.3811860615889917,0
78,2020-05-20 10:00:00,Youth,State and Local Affected Facilities,Allegany,0,5,-0.3811860615889917,0
79,2020-05-27 10:00:00,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,35,5,-0.23129832392524644,0
80,2020-05-27 10:00:00,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,88,5,-0.00432546403443216,0
81,2020-05-27 10:00:00,Staff,State and Local Affected Facilities,Allegany,3,5,-0.36833854121781356,0
82,2020-05-27 10:00:00,Patients,State and Local Affected Facilities,Allegany,1,5,-0.376903554798599,0
83,2020-05-27 10:00:00,Inmates,State and Local Affected Facilities,Allegany,0,5,-0.3811860615889917,0
84,2020-05-27 10:00:00,Youth,State and Local Affected Facilities,Allegany,0,5,-0.3811860615889917,0
85,2020-06-03 10:00:00,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,37,6,-0.222733310344461,0
86,2020-06-03 10:00:00,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,91,6,0.008522056336746008,0
87,2020-06-03 10:00:00,Staff,State and Local Affected Facilities,Allegany,3,6,-0.36833854121781356,0
88,2020-06-03 10:00:00,Patients,State and Local Affected Facilities,Allegany,1,6,-0.376903554798599,0
89,2020-06-03 10:00:00,Inmates,State and Local Affected Facilities,Allegany,0,6,-0.3811860615889917,0
90,2020-06-03 10:00:00,Youth,State and Local Affected Facilities,Allegany,0,6,-0.3811860615889917,0
91,2020-06-10 10:00:00,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,38,6,-0.21845080355406826,0
92,2020-06-10 10:00:00,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,97,6,0.034217097079102345,0
93,2020-06-10 10:00:00,Staff,State and Local Affected Facilities,Allegany,3,6,-0.36833854121781356,0
94,2020-06-10 10:00:00,Patients,State and Local Affected Facilities,Allegany,1,6,-0.376903554798599,0
95,2020-06-10 10:00:00,Inmates,State and Local Affected Facilities,Allegany,0,6,-0.3811860615889917,0
96,2020-06-10 10:00:00,Youth,State and Local Affected Facilities,Allegany,0,6,-0.3811860615889917,0
97,2020-06-17 10:00:00,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,36,6,-0.22701581713485372,0
98,2020-06-17 10:00:00,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,88,6,-0.00432546403443216,0
99,2020-06-17 10:00:00,Staff,State and Local Affected Facilities,Allegany,3,6,-0.36833854121781356,0
100,2020-06-17 10:00:00,Patients,State and Local Affected Facilities,Allegany,0,6,-0.3811860615889917,0
101,2020-06-17 10:00:00,Inmates,State and Local Affected Facilities,Allegany,1,6,-0.376903554798599,0
102,2020-06-17 10:00:00,Youth,State and Local Affected Facilities,Allegany,0,6,-0.3811860615889917,0
103,2020-06-24 10:00:00,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,36,6,-0.22701581713485372,0
104,2020-06-24 10:00:00,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,88,6,-0.00432546403443216,0
105,2020-06-24 10:00:00,Staff,State and Local Affected Facilities,Allegany,4,6,-0.36405603442742085,0
106,2020-06-24 10:00:00,Patients,State and Local Affected Facilities,Allegany,0,6,-0.3811860615889917,0
107,2020-06-24 10:00:00,Inmates,State and Local Affected Facilities,Allegany,4,6,-0.36405603442742085,0
108,2020-06-24 10:00:00,Youth,State and Local Affected Facilities,Allegany,0,6,-0.3811860615889917,0
109,2020-07-01 10:00:00,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,36,7,-0.22701581713485372,0
110,2020-07-01 10:00:00,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,88,7,-0.00432546403443216,0
111,2020-07-01 10:00:00,Staff,State and Local Affected Facilities,Allegany,5,7,-0.35977352763702813,0
112,2020-07-01 10:00:00,Patients,State and Local Affected Facilities,Allegany,0,7,-0.3811860615889917,0
113,2020-07-01 10:00:00,Inmates,State and Local Affected Facilities,Allegany,12,7,-0.3297959801042791,0
114,2020-07-01 10:00:00,Youth,State and Local Affected Facilities,Allegany,0,7,-0.3811860615889917,0
115,2020-07-08 10:00:00,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,36,7,-0.22701581713485372,0
116,2020-07-08 10:00:00,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,88,7,-0.00432546403443216,0
117,2020-07-08 10:00:00,Staff,State and Local Affected Facilities,Allegany,5,7,-0.35977352763702813,0
118,2020-07-08 10:00:00,Patients,State and Local Affected Facilities,Allegany,0,7,-0.3811860615889917,0
119,2020-07-08 10:00:00,Inmates,State and Local Affected Facilities,Allegany,0,7,-0.3811860615889917,0
120,2020-07-08 10:00:00,Youth,State and Local Affected Facilities,Allegany,0,7,-0.3811860615889917,0
145,2020-07-15 10:00:00,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,36,7,-0.22701581713485372,0
146,2020-07-15 10:00:00,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,88,7,-0.00432546403443216,0
147,2020-07-15 10:00:00,Staff,State and Local Affected Facilities,Allegany,5,7,-0.35977352763702813,0
148,2020-07-15 10:00:00,Patients,State and Local Affected Facilities,Allegany,0,7,-0.3811860615889917,0
149,2020-07-15 10:00:00,Inmates,State and Local Affected Facilities,Allegany,0,7,-0.3811860615889917,0
150,2020-07-15 10:00:00,Youth,State and Local Affected Facilities,Allegany,0,7,-0.3811860615889917,0
157,2020-07-22 10:00:00,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,1,7,-0.376903554798599,0
158,2020-07-22 10:00:00,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,0,7,-0.3811860615889917,0
159,2020-07-22 10:00:00,Staff,State and Local Affected Facilities,Allegany,5,7,-0.35977352763702813,0
160,2020-07-22 10:00:00,Patients,State and Local Affected Facilities,Allegany,0,7,-0.3811860615889917,0
161,2020-07-22 10:00:00,Inmates,State and Local Affected Facilities,Allegany,0,7,-0.3811860615889917,0
